date,action,coin,price,sentiment,cash,btc_holdings,eth_holdings,portfolio_value
2024-04-05,sell,eth,3318.88525390625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-02,sell,btc,65446.97265625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-02,sell,eth,3277.234619140625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-01,sell,btc,69702.1484375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-04-01,sell,eth,3505.030029296875,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-31,sell,btc,71333.6484375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-31,sell,eth,3647.8564453125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-30,sell,btc,69645.3046875,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-30,sell,eth,3507.9443359375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-29,sell,btc,69892.828125,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-29,sell,eth,3511.80615234375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-28,sell,btc,70744.953125,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-28,sell,eth,3561.2939453125,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-27,sell,btc,69455.34375,83.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-27,sell,eth,3500.115234375,83.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-26,sell,btc,69987.8359375,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-26,sell,eth,3587.5048828125,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-25,sell,btc,69958.8125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-25,sell,eth,3590.8837890625,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-22,sell,btc,63778.76171875,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-22,sell,eth,3333.68798828125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-21,sell,btc,65491.390625,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-21,sell,eth,3492.9912109375,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-19,sell,btc,61912.7734375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-19,sell,eth,3157.6181640625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-18,sell,btc,67548.59375,77.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-18,sell,eth,3517.985107421875,77.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-17,sell,btc,68390.625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-17,sell,eth,3642.4130859375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-16,sell,btc,65315.1171875,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-16,sell,eth,3522.860107421875,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-15,sell,btc,69403.7734375,83.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-15,sell,eth,3735.22021484375,83.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-14,sell,btc,71396.59375,88.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-14,sell,eth,3883.140380859375,88.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-13,sell,btc,73083.5,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-13,sell,eth,4006.45703125,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-12,sell,btc,71481.2890625,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-12,sell,eth,3980.273193359375,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-11,sell,btc,72123.90625,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-11,sell,eth,4066.445068359375,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-10,sell,btc,69019.7890625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-10,sell,eth,3881.193115234375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-09,sell,btc,68498.8828125,84.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-09,sell,eth,3915.4189453125,84.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-08,sell,btc,68300.09375,81.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-08,sell,eth,3892.06103515625,81.0,13941.86781010572,0.0,0.0,13941.86781010572
